"id";"parent";"level";"type";"name";"part";"v_total";"v_eu";"v_nation";"v_proc_eu";"v_proc_nation"
"1-4-2";"1-4";"d";"Podzadanie 1.4.2";"Obsługa i koordynacja prac Trybunału Konstytucyjnego";"";14968;0;14968;0.0;100.0
"1-4-2-1";"1-4-2";"e";"Dysponent";"Trybunał Konstytucyjny";"06";14968;0;14968;0.0;100.0
"1-5";"1";"c";"Zadanie 1.5";"Organizacja i przeprowadzanie wyborów";"";228333;0;228333;0.0;100.0
"1-5-1";"1-5";"d";"Podzadanie 1.5.1";"Wybory Prezydenta Rzeczpospolitej Polskiej";"";0;0;0;0;0
"1-5-1-1";"1-5-1";"e";"Dysponent";"Krajowe Biuro Wyborcze";"11";0;0;0;0;0
"1-5-2";"1-5";"d";"Podzadanie 1.5.2";"Wybory do Sejmu i Senatu";"";0;0;0;0;0
"1-5-2-1";"1-5-2";"e";"Dysponent";"Krajowe Biuro Wyborcze";"11";0;0;0;0;0
"1-5-4";"1-5";"d";"Podzadanie 1.5.4";"Wybory do rad gmin, rad powiatów i sejmików województw, wybory wójtów, burmistrzów i prezydentów miast oraz referenda gminne, powiatowe i wojewódzkie";"";121;0;121;0.0;100.0
"1-5-4-1";"1-5-4";"e";"Dysponent";"Krajowe Biuro Wyborcze";"11";0;0;0;0;0
"1-5-4-2";"1-5-4";"e";"Dysponent";"Wojewodowie";"85";121;0;121;0.0;100.0
"1-5-5";"1-5";"d";"Podzadanie 1.5.5";"Referenda ogólnokrajowe i konstytucyjne w tym obsługa pod względem merytorycznym, finansowym, technicznym i organizacyjnym PKW i Komisarzy wyborczych";"";0;0;0;0;0
"1-5-5-1";"1-5-5";"e";"Dysponent";"Krajowe Biuro Wyborcze";"11";0;0;0;0;0
"1-5-6";"1-5";"d";"Podzadanie 1.5.6";"Finansowanie partii politycznych";"";228212;0;228212;0.0;100.0
"1-5-6-1";"1-5-6";"e";"Dysponent";"Ministerstwo Finansów";"19";228212;0;228212;0.0;100.0
"1-6";"1";"c";"Zadanie 1.6";"Nadzór nad systemem zamówień publicznych";"";12903;454;12449;3.52;96.48
"1-6-1";"1-6";"d";"Podzadanie 1.6.1";"Nadzór nad przestrzeganiem zasad systemu zamówień w szczególności dokonywanie kontroli procesu udzielania zamówień w zakresie przewidzianym ustawą";"";6844;454;6390;6.63;93.37
"1-6-1-1";"1-6-1";"e";"Dysponent";"Urząd Zamówień Publicznych";"49";6844;454;6390;6.63;93.37
"1-6-2";"1-6";"d";"Podzadanie 1.6.2";"System odwołań";"";6059;0;6059;0.0;100.0
"1-6-2-1";"1-6-2";"e";"Dysponent";"Urząd Zamówień Publicznych";"49";6059;0;6059;0.0;100.0
"1-7";"1";"c";"Zadanie 1.7";"Ocena działalności organów administracji publicznej, Narodowego Banku Polskiego oraz jednostek organizacyjnych wydatkujących środki publiczne z punktu widzenia ustawowych kryteriów NIK";"";275124;0;275124;0.0;100.0
"1-7-1";"1-7";"d";"Podzadanie 1.7.1";"Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników";"";232860;0;232860;0.0;100.0
"1-7-1-1";"1-7-1";"e";"Dysponent";"Najwyższa Izba Kontroli";"07";232860;0;232860;0.0;100.0
"1-7-2";"1-7";"d";"Podzadanie 1.7.2";"Przygotowanie analizy wykonania budżetu państwa i założeń polityki pieniężnej oraz innych opracowań sektorowych";"";3013;0;3013;0.0;100.0
"1-7-2-1";"1-7-2";"e";"Dysponent";"Najwyższa Izba Kontroli";"07";3013;0;3013;0.0;100.0
"1-7-3";"1-7";"d";"Podzadanie 1.7.3";"Wykonywanie nie kontrolnych funkcji naczelnego organu kontroli państwowej";"";17587;0;17587;0.0;100.0
"1-7-3-1";"1-7-3";"e";"Dysponent";"Najwyższa Izba Kontroli";"07";17587;0;17587;0.0;100.0
"1-7-4";"1-7";"d";"Podzadanie 1.7.4";"Zarządzanie kapitałem ludzkim";"";21664;0;21664;0.0;100.0
"1-7-4-1";"1-7-4";"e";"Dysponent";"Najwyższa Izba Kontroli";"07";21664;0;21664;0.0;100.0
"1-8";"1";"c";"Zadanie 1.8";"Ochrona wolności słowa, prawo do informacji oraz interes publiczny w radiofonii i telewizji";"";9993;0;9993;0.0;100.0
"1-8-1";"1-8";"d";"Podzadanie 1.8.1";"Koncesje na rozpowszechnianie programów radiowych i telewizyjnych oraz rejestrowanie programów rozprowadzanych w sieciach kablowych";"";3290;0;3290;0.0;100.0
"1-8-1-1";"1-8-1";"e";"Dysponent";"Krajowa Rada Radiofonii i Telewizji";"09";3290;0;3290;0.0;100.0
"1-8-2";"1-8";"d";"Podzadanie 1.8.2";"Kontrola programów radiowych i telewizyjnych oraz organizowanie badań treści i odbioru tych programów";"";4660;0;4660;0.0;100.0
"1-8-2-1";"1-8-2";"e";"Dysponent";"Krajowa Rada Radiofonii i Telewizji";"09";4660;0;4660;0.0;100.0
"1-8-3";"1-8";"d";"Podzadanie 1.8.3";"Działalność KRRiT w zakresie środków abonamentowych";"";2043;0;2043;0.0;100.0
"1-8-3-1";"1-8-3";"e";"Dysponent";"Krajowa Rada Radiofonii i Telewizji";"09";2043;0;2043;0.0;100.0
"1-9";"1";"c";"Zadanie 1.9";"Gromadzenie i zarządzanie dokumentami organów bezpieczeństwa państwa oraz organów bezpieczeństwa III Rzeszy Niemieckiej i Związku Socjalistycznych Republik Radzieckich sporządzonymi od 1 września 1939 r. do 31 lipca 1990 r., prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych, zbrodni przeciwko ludzkości i innych, działalność lustracyjna";"";182556;0;182556;0.0;100.0
"1-9-1";"1-9";"d";"Podzadanie 1.9.1";"Udostępnianie dokumentów i informacji o zbiorach zgromadzonych w archiwach IPN";"";124046;0;124046;0.0;100.0
"1-9-1-1";"1-9-1";"e";"Dysponent";"Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu";"13";124046;0;124046;0.0;100.0
"1-9-2";"1-9";"d";"Podzadanie 1.9.2";"Prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych oraz przeciwko ludzkości i innych";"";30621;0;30621;0.0;100.0
"1-9-2-1";"1-9-2";"e";"Dysponent";"Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu";"13";30621;0;30621;0.0;100.0
"1-9-3";"1-9";"d";"Podzadanie 1.9.3";"Przygotowywanie i publikowanie informacji dotyczących funkcjonariuszy organów bezpieczeństwa państwa, osób rozpracowywanych, funkcjonariuszy państwowych i partyjnych w latach 1944-1990 oraz osób publicznych wg art. 22 tzw. ustawy lustracyjnej z 2006 roku, prowadzenie rejestru oświadczeń lustracyjnych i jego analiza, przygotowanie postępowań lustracyjnych";"";27889;0;27889;0.0;100.0
"1-9-3-1";"1-9-3";"e";"Dysponent";"Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu";"13";27889;0;27889;0.0;100.0
"1-10";"1";"c";"Zadanie 1.10";"Ocena gospodarki finansowej jednostek samorządu terytorialnego z punktu widzenia kryteriów ustawowych";"";103251;500;102751;0.48;99.52
"1-10-1";"1-10";"d";"Podzadanie 1.10.1";"Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników";"";46359;205;46154;0.44;99.56
"1-10-1-1";"1-10-1";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"80";46359;205;46154;0.44;99.56
"1-10-2";"1-10";"d";"Podzadanie 1.10.2";"Sprawowanie nadzoru nad jednostkami samorządu terytorialnego oraz działalność opiniodawcza";"";56892;295;56597;0.52;99.48
"1-10-2-1";"1-10-2";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"80";56892;295;56597;0.52;99.48
"1-11";"1";"c";"Zadanie 1.11";"Informatyzacja działalności i budowa społeczeństwa informacyjnego";"";923;0;923;0.0;100.0
"1-11-1";"1-11";"d";"Podzadanie 1.11.1";"Utrzymanie systemów informatycznych";"";923;0;923;0.0;100.0
"1-11-1-1";"1-11-1";"e";"Dysponent";"Urząd Zamówień Publicznych";"49";923;0;923;0.0;100.0
"2";"";"b";"FUNKCJA 2";"BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY";"";14170616;58779;14111837;0.41;99.59
"2-1";"2";"c";"Zadanie 2.1";"Ochrona obywateli i utrzymanie porządku publicznego";"";5795284;37059;5758225;0.64;99.36
"2-1-1";"2-1";"d";"Podzadanie 2.1.1";"Zapewnienie bezpieczeństwa wewnętrznego państwa";"";529669;0;529669;0.0;100.0
"2-1-1-1";"2-1-1";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";31975;0;31975;0.0;100.0
"2-1-1-2";"2-1-1";"e";"Dysponent";"Agencja Bezpieczeństwa Wewnętrznego";"57";497682;0;497682;0.0;100.0
"2-1-1-3";"2-1-1";"e";"Dysponent";"Wojewodowie";"85";12;0;12;0.0;100.0
"2-1-2";"2-1";"d";"Podzadanie 2.1.2";"Zapewnienie bezpieczeństwa najważniejszym osobom, obiektom i urządzeniom w państwie";"";177382;0;177382;0.0;100.0
"2-1-2-1";"2-1-2";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";177382;0;177382;0.0;100.0
"2-1-3";"2-1";"d";"Podzadanie 2.1.3";"Zapewnienie działania służby prewencyjnej";"";4309904;31751;4278153;0.74;99.26
"2-1-3-1";"2-1-3";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";4309904;31751;4278153;0.74;99.26
"2-1-4";"2-1";"d";"Podzadanie 2.1.4";"Zapewnienie działania służby ruchu drogowego";"";723296;5308;717988;0.73;99.27
"2-1-4-1";"2-1-4";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";723296;5308;717988;0.73;99.27
"2-1-5";"2-1";"d";"Podzadanie 2.1.5";"Wydawanie zezwoleń, koncesji, wpisu do rejestru działalności regulowanej oraz kontrola własna działalności koncesjonowanej, regulowanej i legalności nabycia nieruchomości, akcji i udziałów przez cudzoziemców";"";3705;0;3705;0.0;100.0
"2-1-5-1";"2-1-5";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";3705;0;3705;0.0;100.0
"2-1-6";"2-1";"d";"Podzadanie 2.1.6";"Wykonywanie zadań z zakresu postępowania mandatowego w sprawach o wykroczenia";"";792;0;792;0.0;100.0
"2-1-6-1";"2-1-6";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";792;0;792;0.0;100.0
"2-1-7";"2-1";"d";"Podzadanie 2.1.7";"Program wieloletni ``Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011``";"";50536;0;50536;0.0;100.0
"2-1-7-1";"2-1-7";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";50536;0;50536;0.0;100.0
"2-2";"2";"c";"Zadanie 2.2";"Redukowanie przestępczości i działania na rzecz poprawy społecznego poczucia bezpieczeństwa";"";3084993;21650;3063343;0.7;99.3
"2-2-1";"2-2";"d";"Podzadanie 2.2.1";"Zapewnienie działania służby śledczej i kryminalnej";"";2946403;21650;2924753;0.73;99.27
"2-2-1-1";"2-2-1";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";2946403;21650;2924753;0.73;99.27
"2-2-2";"2-2";"d";"Podzadanie 2.2.2";"Zwalczanie korupcji";"";106971;0;106971;0.0;100.0
"2-2-2-1";"2-2-2";"e";"Dysponent";"Centralne Biuro Antykorupcyjne";"56";106971;0;106971;0.0;100.0
"2-2-3";"2-2";"d";"Podzadanie 2.2.3";"Zapobieganie przestępczości i aspołecznym zachowaniom oraz przeciwdziałanie przemocy i patologiom społecznym";"";4033;0;4033;0.0;100.0
"2-2-3-1";"2-2-3";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";3072;0;3072;0.0;100.0
"2-2-3-2";"2-2-3";"e";"Dysponent";"Wojewodowie";"85";961;0;961;0.0;100.0
"2-2-4";"2-2";"d";"Podzadanie 2.2.4";"Wsparcie i ochrona ofiar handlu ludźmi";"";1260;0;1260;0.0;100.0
"2-2-4-1";"2-2-4";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";1260;0;1260;0.0;100.0
"2-2-6";"2-2";"d";"Podzadanie 2.2.6";"Program wieloletni ``Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011``";"";26326;0;26326;0.0;100.0
"2-2-6-1";"2-2-6";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";26326;0;26326;0.0;100.0
"2-3";"2";"c";"Zadanie 2.3";"Strzeżenie praworządności i czuwanie nad ściganiem przestępstw przez prokuraturę";"";1585535;0;1585535;0.0;100.0
"2-3-1";"2-3";"d";"Podzadanie 2.3.1";"Przygotowanie postępowania przygotowawczego i procesowego";"";1468483;0;1468483;0.0;100.0
"2-3-1-1";"2-3-1";"e";"Dysponent";"Ministerstwo Obrony Narodowej";"29";39276;0;39276;0.0;100.0
"2-3-1-2";"2-3-1";"e";"Dysponent";"Ministerstwo Sprawiedliwości";"37";0;0;0;0;0
"2-3-1-3";"2-3-1";"e";"Dysponent";"Prokuratura Generalna";"88";1429207;0;1429207;0.0;100.0
"2-3-2";"2-3";"d";"Podzadanie 2.3.2";"Zwalczanie przestępczości zorganizowanej";"";39380;0;39380;0.0;100.0
"2-3-2-1";"2-3-2";"e";"Dysponent";"Prokuratura Generalna";"88";39380;0;39380;0.0;100.0
"2-3-3";"2-3";"d";"Podzadanie 2.3.3";"Realizacja zadań Prokuratora Generalnego w postępowaniach przed SN, TK, NSA oraz innych przewidzianych w ustawach";"";77672;0;77672;0.0;100.0
"2-3-3-1";"2-3-3";"e";"Dysponent";"Ministerstwo Sprawiedliwości";"37";0;0;0;0;0
"2-3-3-2";"2-3-3";"e";"Dysponent";"Prokuratura Generalna";"88";77672;0;77672;0.0;100.0
"2-4";"2";"c";"Zadanie 2.4";"Ochrona przeciwpożarowa, działalność ratowniczo-gaśnicza oraz zapobiegawcza";"";2168901;70;2168831;0.0;100.0
"2-4-1";"2-4";"d";"Podzadanie 2.4.1";"Działalność ratowniczo-gaśnicza";"";2090993;0;2090993;0.0;100.0
"2-4-1-1";"2-4-1";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";143111;0;143111;0.0;100.0
"2-4-1-2";"2-4-1";"e";"Dysponent";"Wojewodowie";"85";1947882;0;1947882;0.0;100.0
"2-4-2";"2-4";"d";"Podzadanie 2.4.2";"Działalność ratownictwa górskiego i wodnego";"";12454;0;12454;0.0;100.0
"2-4-2-1";"2-4-2";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";12454;0;12454;0.0;100.0
"2-4-3";"2-4";"d";"Podzadanie 2.4.3";"Rozpoznawanie zagrożeń";"";65310;70;65240;0.11;99.89
"2-4-3-1";"2-4-3";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";1271;70;1201;5.51;94.49
"2-4-3-2";"2-4-3";"e";"Dysponent";"Wojewodowie";"85";64039;0;64039;0.0;100.0
"2-4-4";"2-4";"d";"Podzadanie 2.4.4";"Program wieloletni ``Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011``";"";144;0;144;0.0;100.0
"2-4-4-1";"2-4-4";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";116;0;116;0.0;100.0
"2-4-4-2";"2-4-4";"e";"Dysponent";"Wojewodowie";"85";28;0;28;0.0;100.0
"2-5";"2";"c";"Zadanie 2.5";"Zarządzanie kryzysowe i obrona cywilna";"";45541;0;45541;0.0;100.0
"2-5-1";"2-5";"d";"Podzadanie 2.5.1";"Koordynacja przedsięwzięć z zakresu zarządzania kryzysowego";"";25237;0;25237;0.0;100.0
"2-5-1-1";"2-5-1";"e";"Dysponent";"Ministerstwo Środowiska";"41";42;0;42;0.0;100.0
"2-5-1-2";"2-5-1";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";7052;0;7052;0.0;100.0
"2-5-1-3";"2-5-1";"e";"Dysponent";"Wojewodowie";"85";18143;0;18143;0.0;100.0
"2-5-2";"2-5";"d";"Podzadanie 2.5.2";"Przeciwdziałanie i usuwanie skutków klęsk żywiołowych";"";1457;0;1457;0.0;100.0
"2-5-2-1";"2-5-2";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";1457;0;1457;0.0;100.0
"2-5-2-2";"2-5-2";"e";"Dysponent";"Wojewodowie";"85";0;0;0;0;0
"2-5-3";"2-5";"d";"Podzadanie 2.5.3";"Obrona cywilna";"";18847;0;18847;0.0;100.0
"2-5-3-1";"2-5-3";"e";"Dysponent";"Ministerstwo Finansów";"19";227;0;227;0.0;100.0
"2-5-3-2";"2-5-3";"e";"Dysponent";"Ministerstwo Środowiska";"41";41;0;41;0.0;100.0
"2-5-3-3";"2-5-3";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";1986;0;1986;0.0;100.0
"2-5-3-4";"2-5-3";"e";"Dysponent";"Wojewodowie";"85";16593;0;16593;0.0;100.0
"2-6";"2";"c";"Zadanie 2.6";"Ochrona granicy państwowej i kontrola ruchu granicznego";"";1427373;0;1427373;0.0;100.0
"2-6-1";"2-6";"d";"Podzadanie 2.6.1";"Ochrona granicy państwowej";"";502964;0;502964;0.0;100.0
"2-6-1-1";"2-6-1";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";502964;0;502964;0.0;100.0
"2-6-2";"2-6";"d";"Podzadanie 2.6.2";"Kontrola ruchu granicznego";"";330499;0;330499;0.0;100.0
"2-6-2-1";"2-6-2";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";330499;0;330499;0.0;100.0
"2-6-3";"2-6";"d";"Podzadanie 2.6.3";"Zapobieganie nielegalnej migracji";"";293973;0;293973;0.0;100.0
"2-6-3-1";"2-6-3";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";293973;0;293973;0.0;100.0
"2-6-4";"2-6";"d";"Podzadanie 2.6.4";"Budowa i utrzymanie przejść granicznych";"";188418;0;188418;0.0;100.0
"2-6-4-1";"2-6-4";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";299;0;299;0.0;100.0
"2-6-4-2";"2-6-4";"e";"Dysponent";"Wojewodowie";"85";188119;0;188119;0.0;100.0
"2-6-5";"2-6";"d";"Podzadanie 2.6.5";"Rozpoznawanie, zapobieganie i wykrywanie przestępstw oraz ściganie ich sprawców, w zakresie właściwości SG";"";98548;0;98548;0.0;100.0
"2-6-5-1";"2-6-5";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";98548;0;98548;0.0;100.0
"2-6-6";"2-6";"d";"Podzadanie 2.6.6";"Program wieloletni ``Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011``";"";12971;0;12971;0.0;100.0
"2-6-6-1";"2-6-6";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";12971;0;12971;0.0;100.0
"2-7";"2";"c";"Zadanie 2.7";"Informatyzacja działalności i budowa społeczeństwa informacyjnego";"";62989;0;62989;0.0;100.0
"2-7-1";"2-7";"d";"Podzadanie 2.7.1";"Utrzymanie systemów informatycznych";"";61198;0;61198;0.0;100.0
"2-7-1-1";"2-7-1";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";61198;0;61198;0.0;100.0
"2-7-2";"2-7";"d";"Podzadanie 2.7.2";"Budowa i wdrożenie rozwiązań informatycznych";"";1791;0;1791;0.0;100.0
"2-7-2-1";"2-7-2";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";1791;0;1791;0.0;100.0
"3";"";"b";"FUNKCJA 3";"EDUKACJA, WYCHOWANIE I OPIEKA";"";14379196;1016384;13362812;7.07;92.93
"3-1";"3";"c";"Zadanie 3.1";"Edukacja i wychowanie";"";1929627;395308;1534319;20.49;79.51
"3-1-1";"3-1";"d";"Podzadanie 3.1.1";"Zarządzanie i nadzór nad systemem edukacji i wychowania";"";145435;52454;92981;36.07;63.93
"3-1-1-1";"3-1-1";"e";"Dysponent";"Wojewodowie";"85";9134;0;9134;0.0;100.0
"3-1-1-2";"3-1-1";"e";"Dysponent";"Ministerstwo Edukacji Narodowej";"30";136301;52454;83847;38.48;61.52
"3-1-2";"3-1";"d";"Podzadanie 3.1.2";"Kształcenie ogólne, zawodowe i ustawiczne";"";1045109;66980;978129;6.41;93.59
"3-1-2-1";"3-1-2";"e";"Dysponent";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";27374;0;27374;0.0;100.0
"3-1-2-2";"3-1-2";"e";"Dysponent";"Ministerstwo Zdrowia";"46";41745;34386;7359;82.37;17.63
"3-1-2-3";"3-1-2";"e";"Dysponent";"Wojewodowie";"85";7369;0;7369;0.0;100.0
"3-1-2-4";"3-1-2";"e";"Dysponent";"Ministerstwo Kultury i Dziedzictwa Narodowego";"24";605793;0;605793;0.0;100.0
"3-1-2-5";"3-1-2";"e";"Dysponent";"Ministerstwo Edukacji Narodowej";"30";16938;12877;4061;76.02;23.98
"3-1-2-6";"3-1-2";"e";"Dysponent";"Ministerstwo Pracy i Polityki Społecznej";"31";88067;0;88067;0.0;100.0
"3-1-2-7";"3-1-2";"e";"Dysponent";"Ministerstwo Rolnictwa i Rozwoju Wsi";"32";176120;16853;159267;9.57;90.43
"3-1-2-8";"3-1-2";"e";"Dysponent";"Ministerstwo Rozwoju Regionalnego";"34";3201;2864;337;89.47;10.53
"3-1-2-9";"3-1-2";"e";"Dysponent";"Ministerstwo Sprawiedliwości";"37";40310;0;40310;0.0;100.0
"3-1-2-10";"3-1-2";"e";"Dysponent";"Ministerstwo Środowiska";"41";38192;0;38192;0.0;100.0
"3-1-3";"3-1";"d";"Podzadanie 3.1.3";"Kształcenie i doskonalenie nauczycieli oraz kształtowanie ich pragmatyki zawodowej";"";174668;106433;68235;60.93;39.07
"3-1-3-1";"3-1-3";"e";"Dysponent";"Wojewodowie";"85";15316;0;15316;0.0;100.0
"3-1-3-2";"3-1-3";"e";"Dysponent";"Ministerstwo Kultury i Dziedzictwa Narodowego";"24";5785;0;5785;0.0;100.0
"3-1-3-3";"3-1-3";"e";"Dysponent";"Ministerstwo Edukacji Narodowej";"30";151666;106433;45233;70.18;29.82
"3-1-3-4";"3-1-3";"e";"Dysponent";"Ministerstwo Rolnictwa i Rozwoju Wsi";"32";1551;0;1551;0.0;100.0
"3-1-3-5";"3-1-3";"e";"Dysponent";"Ministerstwo Rolnictwa i Rozwoju Wsi";"33";14;0;14;0.0;100.0
"3-1-3-6";"3-1-3";"e";"Dysponent";"Ministerstwo Środowiska";"41";336;0;336;0.0;100.0
"3-1-4";"3-1";"d";"Podzadanie 3.1.4";"Egzaminy zewnętrzne";"";241776;40135;201641;16.6;83.4
"3-1-4-1";"3-1-4";"e";"Dysponent";"Ministerstwo Zdrowia";"46";4530;0;4530;0.0;100.0
"3-1-4-2";"3-1-4";"e";"Dysponent";"Wojewodowie";"85";1748;0;1748;0.0;100.0
"3-1-4-3";"3-1-4";"e";"Dysponent";"Ministerstwo Edukacji Narodowej";"30";235498;40135;195363;17.04;82.96
"3-1-5";"3-1";"d";"Podzadanie 3.1.5";"Wspieranie uczniów zdolnych oraz dzieci i młodzieży ze specjalnymi potrzebami edukacyjnymi";"";60442;42100;18342;69.65;30.35
